Timestamp,Lx,Ly,Lz,LqX,LqY,LqZ,LqW,Rx,Ry,Rz,RqX,RqY,RqZ,RqWGx,Gy,Gz,Glx,Gly,Glz,Gf,Lpd,Rpd
1926,-0.1199479,-0.4321282,0.181097,-0.02326037,-0.06703827,-0.06865919,0.9951134,0.1149124,-0.4276966,0.4403229,-0.007677303,0.02849243,0.1172748,0.992661,0.005374938,0.04342866,-0.05438614,0.1507246,-0.629201,0.7624881,0.5123864,4.527668,3.685727
1962,-0.1178465,-0.4330485,0.1812763,-0.02184567,-0.06408349,-0.066833,0.9954644,0.1202597,-0.4246548,0.4388018,-0.01178867,0.03306905,0.1104915,0.9932569,0.005690455,0.04337239,-0.05479717,0.1606777,-0.6186839,0.7690338,0.5573457,4.238023,3.679094
1983,-0.1166874,-0.4334687,0.1814051,-0.02164193,-0.0624768,-0.06614748,0.9956168,0.123207,-0.4233931,0.4379263,-0.01397238,0.03488312,0.1085588,0.9933796,0.005723953,0.04333007,-0.05507469,0.1659464,-0.6205044,0.7664438,0.561614,4.236269,3.677772
2004,-0.1153544,-0.4337864,0.1814375,-0.02185161,-0.06045007,-0.06654251,0.995711,0.1257676,-0.422286,0.4369249,-0.01504454,0.0361616,0.1119369,0.9929432,0.005791247,0.0433234,-0.05539227,0.1712722,-0.6211774,0.7647251,0.5582948,4.21611,3.680697
2026,-0.1138447,-0.4341661,0.1815567,-0.02146499,-0.05856555,-0.06633026,0.9958462,0.1287257,-0.4212418,0.4358215,-0.01594558,0.03773122,0.114118,0.9926224,0.005837113,0.04320216,-0.05583572,0.1763272,-0.6213751,0.7634145,0.5617189,4.172602,3.679124
2061,-0.1116706,-0.4341701,0.1817961,-0.02086763,-0.05549759,-0.06447636,0.9961563,0.133774,-0.4201455,0.4339857,-0.01782917,0.04139156,0.1157248,0.9922584,0.00592193,0.04306006,-0.05669117,0.1817898,-0.6237224,0.7602125,0.5545525,4.063384,3.676644
2083,-0.110092,-0.4337842,0.1820507,-0.02159125,-0.05316133,-0.06367647,0.9963198,0.1368095,-0.4196738,0.4330511,-0.01759708,0.0433521,0.1156255,0.9921904,0.005924076,0.04308271,-0.05724144,0.1842234,-0.6244795,0.7590041,0.5511358,4.054626,3.666368
2105,-0.1085001,-0.4333421,0.1822815,-0.02307303,-0.05056285,-0.06356103,0.9964291,0.1398286,-0.4194813,0.4319935,-0.01719354,0.0450963,0.1138086,0.9923298,0.005804271,0.04307652,-0.05773544,0.1865638,-0.6252767,0.7577751,0.5456988,4.022268,3.641458
2127,-0.1069944,-0.4329278,0.1823997,-0.02426935,-0.04822043,-0.06344027,0.9965245,0.142625,-0.4193108,0.4306154,-0.01766268,0.04684933,0.1133966,0.9922875,0.00563252,0.04321432,-0.0582056,0.1885663,-0.6233692,0.7588501,0.5451676,4.045353,3.637624
2164,-0.1046149,-0.4326971,0.1824455,-0.02455238,-0.04570235,-0.06161526,0.9967508,0.1470024,-0.4191854,0.4284191,-0.01816504,0.04812801,0.1167015,0.9918339,0.005302638,0.0433445,-0.05913544,0.1910061,-0.6210504,0.7601403,0.5333238,4.045347,3.616156
2187,-0.1032771,-0.4326522,0.1825771,-0.02487841,-0.04363531,-0.06054902,0.9969006,0.1493751,-0.4191612,0.4267149,-0.019485,0.0492684,0.1161097,0.9918223,0.005052775,0.04343283,-0.05975819,0.1929395,-0.6184559,0.7617655,0.5303443,4.13119,3.613211
2208,-0.101749,-0.4326565,0.182663,-0.02552927,-0.04154532,-0.0602424,0.9969921,0.1521453,-0.4188232,0.4254246,-0.02042369,0.05133276,0.1173495,0.9915528,0.004825413,0.04354286,-0.06034184,0.1942686,-0.6171672,0.7624726,0.5305199,4.111279,3.611905
2230,-0.1001335,-0.4330357,0.1827068,-0.02530897,-0.03972813,-0.0601943,0.9970746,0.1548983,-0.4190032,0.4239168,-0.0206598,0.05397006,0.1182975,0.9912952,0.004609108,0.04356587,-0.06098557,0.1951369,-0.6178761,0.7616763,0.5291987,3.888277,3.603571
2253,-0.09859225,-0.4335618,0.1827869,-0.0242777,-0.03806489,-0.05941559,0.9972119,0.1578249,-0.4188298,0.4224701,-0.02162275,0.05833312,0.1163438,0.9912587,0.004317671,0.04345727,-0.06167603,0.1970766,-0.6191638,0.7601297,0.5061489,4.002404,3.598798
2277,-0.09720179,-0.4339714,0.1828785,-0.02393196,-0.03627567,-0.05777086,0.9973835,0.1607565,-0.4185927,0.4208174,-0.02328392,0.06333504,0.1146112,0.9911159,0.003897786,0.04323971,-0.06241512,0.1993444,-0.6189268,0.7597312,0.5239794,4.43144,3.699943
2310,-0.09504303,-0.4346287,0.1831665,-0.02309262,-0.03384995,-0.05659376,0.9975561,0.1645955,-0.4183438,0.4181614,-0.02537579,0.06902686,0.1116128,0.9910268,0.003095478,0.04260874,-0.06339073,0.2111806,-0.6220713,0.753943,0.4648018,3.599612,3.622374
